State,Agency type,Agency name,Agency unit,"Race/Ethnicity/Ancestry",Religion,"Sexual_orientation",Disability,Gender,"Gender_identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population1
,,Graves,,2,0,0,0,0,0,0,1,1,0,
,,Knox,,1,0,0,0,0,0,0,1,0,0,
,,Madison,,1,0,0,0,0,0,0,0,0,1,
,,Mason,,1,0,0,0,0,0,0,0,1,0,
,,McCracken,,3,0,0,0,0,0,1,2,0,0,
,,Montgomery,,1,0,0,0,0,0,1,0,0,0,
,,Pulaski,,2,0,0,0,0,0,0,1,1,0,
,,Rockcastle,,0,1,0,0,0,0,0,0,1,0,
,,Rowan,,1,0,0,0,0,0,0,1,0,0,
,,Whitley,,0,1,0,0,0,0,0,0,1,0,
,State Police Agencies,,,5,0,0,0,0,0,,,,,
,,State Police:,Bowling Green,2,0,0,0,0,0,0,1,0,1,
,,,Dry Ridge,1,0,0,0,0,0,0,0,0,1,
,,,Hazard,1,0,0,0,0,0,0,0,1,0,
,,,Madisonville,1,0,0,0,0,0,0,1,0,0,
,Other Agencies,,,1,0,0,0,0,0,,,,,
,,Louisville Regional Airport Authority,,1,0,0,0,0,0,0,0,1,0,
Louisiana,Total,,,27,5,6,1,1,0,,,,,
,Cities,,,13,1,4,0,1,0,,,,,
,,Alexandria2,,1,0,1,0,0,0, ,1, , ,"45,986"
,,Baton Rouge,,1,0,0,0,0,0,0,0,0,1,"219,245"
,,Bossier City,,1,0,0,0,0,0,0,0,1,0,"68,869"
,,Gonzales,,1,0,0,0,0,0,0,0,1,0,"11,092"
,,Jennings,,0,0,1,0,0,0,0,0,1,0,"9,737"
,,Lake Charles,,1,0,0,0,0,0,0,0,1,0,"79,077"
,,Mansfield,,3,1,0,0,1,0, , ,2,3,"4,587"
,,New Orleans,,3,0,2,0,0,0,0,2,2,1,"393,779"
,,Port Allen,,1,0,0,0,0,0,0,0,0,1,"4,695"
,,Rayne,,1,0,0,0,0,0,0, ,0,1,"7,997"
,Metropolitan Counties,,,12,3,2,1,0,0,,,,,
,,Ascension,,0,0,1,0,0,0,0,1,0,0,
,,Calcasieu,,1,0,0,0,0,0,0,1,0,0,
,,Lafourche,,4,1,0,1,0,0,0,1,3,2,
,,Rapides,,5,1,1,0,0,0,2,3,1,1,
,,St. James,,0,1,0,0,0,0,0,0,1,0,
,,St. John the Baptist,,2,0,0,0,0,0,0,2,0,0,
,Nonmetropolitan Counties,,,2,1,0,0,0,0,,,,,
,,Lincoln,,1,1,0,0,0,0, , ,1,1,
,,Madison,,1,0,0,0,0,0,1,0,0,0,
Maine,Total,,,40,7,36,0,0,1,,,,,
,Cities,,,29,6,4,0,0,1,,,,,
,,Augusta,,3,0,0,0,0,0,0,3,0,0,"18,653"
,,Bangor,,0,1,0,0,0,0,0,1,0,0,"32,179"
,,Bath,,1,0,0,0,0,0,0,0,0,1,"8,322"
,,Biddeford,,1,0,0,0,0,0,0,1,0,0,"21,530"
,,Boothbay Harbor,,0,1,0,0,0,0,0,0,0,1,"2,219"
,,Brunswick,,2,0,0,0,0,0,0,0,2,0,"20,566"
,,Cumberland,,1,0,0,0,0,0,0,0,0,1,"8,327"
,,Fryeburg,,1,0,0,0,0,0,0,1,0,0,"3,452"
,,Kennebunk,,2,0,0,0,0,0,0,2,0,0,"11,719"
,,Lewiston,,0,0,1,0,0,0,1,0,0,0,"36,186"
,,Livermore Falls,,2,0,0,0,0,0,0,2,0,0,"3,154"
,,Mexico,,2,0,0,0,0,0,1,1,0,0,"2,624"
,,Norway,,1,0,0,0,0,0,0,1,0,0,"4,989"
,,Portland,,3,1,2,0,0,0,1,1,4,0,"66,229"
,,Rockland,,0,1,1,0,0,1,0,0,2,1,"7,151"
,,Saco,,5,1,0,0,0,0,0,3,3,0,"20,133"
,,Skowhegan,,1,0,0,0,0,0,0,1,0,0,"8,202"
,,South Portland,,1,1,0,0,0,0,1,1,0,0,"25,593"
,,Waterville,,1,0,0,0,0,0,0,0,0,1,"16,654"
,,Windham,,2,0,0,0,0,0,1,0,1,0,"18,720"
,Metropolitan Counties,,,7,1,29,0,0,0,,,,,
,,Cumberland,,7,1,29,0,0,0,0,2,22,13,
,Nonmetropolitan Counties,,,1,0,0,0,0,0,,,,,
,,Waldo,,1,0,0,0,0,0,0,1,0,0,
,State Police Agencies,,,3,0,3,0,0,0,,,,,
,,State Police2,,3,0,3,0,0,0,1,1,2,1,
Maryland,Total,,,27,5,7,0,0,1,,,,,
,Cities,,,7,0,3,0,0,0,,,,,
,,Annapolis,,1,0,0,0,0,0,1,0,0, ,"39,315"
,,Baltimore,,3,0,2,0,0,0,1,1,3, ,"588,594"
,,Bowie,,3,0,0,0,0,0,0,1,2,0,"59,008"
,,Greenbelt,,0,0,1,0,0,0,0,1, , ,"23,342"
,Universities and Colleges,,,2,0,0,0,0,0,,,,,
,,St. Mary's College,,1,0,0,0,0,0,0,0,1, ,"1,705"
,,University of Maryland,Baltimore County,1,0,0,0,0,0,0,0,1, ,"15,726"
,Metropolitan Counties,,,16,5,4,0,0,1,,,,,
,,Anne Arundel County Police Department,,1,0,0,0,0,0,0,0,1, ,
,,Baltimore County Police Department,,7,2,2,0,0,0,0,4,4,3,
,,Frederick,,0,0,0,0,0,1,1,0,0, ,
,,Harford,,3,0,0,0,0,0,1,0,2, ,
,,Montgomery County Police Department,,1,3,1,0,0,0,2,2,1,0,
,,Prince George's County Police Department,,4,0,1,0,0,0,0,2,2,1,
,State Police Agencies,,,1,0,0,0,0,0,,,,,
,,State Police,Harford County,1,0,0,0,0,0,1,0,0, ,
,Other Agencies,,,1,0,0,0,0,0,,,,,
,,Maryland-National Capital Park Police,Montgomery County,1,0,0,0,0,0,1,0,0, ,
Massachusetts,Total,,,188,69,51,2,2,11,,,,,
,Cities,,,180,65,48,2,2,10,,,,,
,,Acton,,3,2,0,0,0,0,2,2,0,1,"23,728"
,,Adams2,,1,1,0,0,0,0,0,0,1,0,"7,959"
,,Amherst,,0,1,0,0,0,0,0,0,0,1,"40,061"
,,Andover,,1,0,0,0,0,0,1,0,0,0,"36,534"
,,Arlington,,6,0,0,0,0,0,1,0,5,0,"45,582"
,,Attleboro,,0,1,0,0,0,0,0,0,0,1,"45,181"
,,Ayer,,0,0,1,0,0,0,0,0,1,0,"8,237"
,,Barnstable,,1,0,0,1,0,0,0,1,1,0,"44,169"
,,Bedford,,0,1,0,0,0,0,0,1,0,0,"14,135"
,,Belmont,,1,0,0,0,0,0,0,1,0,0,"26,136"
,,Berlin,,1,0,0,0,0,0,0,0,1,0,"3,266"
,,Beverly,,1,0,0,0,0,0,0,0,1,0,"42,229"
,,Billerica,,0,1,0,0,0,0,1,0,0,0,"43,473"
,,Boston2,,11,9,17,0,0,8,19,6,5,14,"697,323"
,,Boxford,,1,0,0,0,0,0,0,0,1,0,"8,328"
,,Braintree,,1,0,0,0,0,1,0,1,1,0,"37,278"
,,Brockton,,1,0,0,0,0,0,0,0,1,0,"99,171"
,,Brookline,,1,0,1,0,0,0,0,0,0,2,"59,057"
,,Cambridge,,10,1,4,0,0,0,2,4,7,2,"119,938"
,,Chelmsford,,5,1,5,0,0,0,0,3,6,2,"35,369"
,,Danvers,,1,0,0,0,0,0,0,0,1,0,"27,517"
,,Dedham,,1,0,0,0,0,0,0,0,0,1,"25,217"
,,Douglas,,1,0,0,0,0,0,0,1,0,0,"9,054"
,,Duxbury,,1,0,0,0,0,0,0,0,1,0,"16,561"
,,Edgartown,,0,0,0,1,0,0,0,0,1,0,"4,374"
,,Everett,,3,0,0,0,0,0,0,1,2,0,"46,765"
,,Fall River,,0,1,0,0,0,0,0,0,0,1,"89,136"
,,Falmouth,,1,0,0,0,0,0,0,0,0,1,"30,769"
,,Fitchburg,,1,0,0,0,0,0,0,0,0,1,"40,443"
,,Great Barrington,,0,1,0,0,0,0,0,0,1,0,"6,928"
,,Greenfield,,1,0,0,0,0,0,0,1,0, ,"17,239"
,,Halifax,,1,0,0,0,0,0,0,0,1,0,"8,207"
,,Haverhill,,6,5,0,0,0,0,1,3,4,3,"64,015"
,,Holbrook,,0,1,0,0,0,0,1,0,0,0,"11,035"
,,Holyoke,,1,0,0,0,0,0,1,0,0,0,"40,002"
,,Ipswich,,0,0,0,0,1,0,0,0,0,1,"14,097"
,,Leominster,,1,0,0,0,0,0,1,0,0,0,"41,598"
,,Lowell,,1,0,0,0,0,0,1,0,0,0,"110,876"
,,Lunenburg,,0,0,1,0,0,0,0,0,1,0,"11,874"
,,Lynn,,13,1,0,0,0,0,2,8,3,1,"94,223"
,,Lynnfield,,1,0,0,0,0,0,0,0,1,0,"13,093"
,,Malden,,3,5,0,0,0,1,3,2,4,0,"60,231"
,,Manchester-by-the-Sea,,1,0,0,0,0,0,0,0,0,1,"5,438"
,,Marblehead2,,1,2,1,0,0,0,0,1,1,1,"20,525"
,,Marlborough,,1,0,0,0,0,0,0,0,0,1,"39,498"
,,Mashpee,,1,0,0,0,0,0,0,0,1,0,"14,180"
,,Medford,,7,3,1,0,0,0,2,0,7,2,"57,137"
,,Methuen,,2,0,0,0,0,0,0,1,1,0,"50,810"
,,Middleton,,1,0,0,0,0,0,0,0,1,0,"10,189"
,,Monson,,1,0,0,0,0,0,0,1,0,0,"8,782"
,,Montague2,,1,1,0,0,0,0,0,1,0,0,"8,185"
,,Natick,,1,0,0,0,0,0,0,0,0,1,"36,200"
,,Newbury,,1,0,1,0,0,0,0,0,1,1,"7,163"
,,Newburyport,,1,0,0,0,0,0,0,1,0,0,"18,288"
,,Newton,,4,1,0,0,0,0,0,4,0,1,"88,281"
,,North Andover,,0,0,1,0,0,0,0,0,0,1,"31,341"
,,North Attleboro,,1,0,0,0,0,0,0,0,1,0,"29,280"
,,Norwood,,1,0,0,0,0,0,1,0,0,0,"29,791"
,,Oakham,,1,0,0,0,0,0,0,1,0,0,"1,953"
,,Palmer,,0,0,1,0,0,0,0,0,1,0,"12,200"
,,Plymouth,,1,0,0,0,0,0,0,0,1,0,"64,199"
,,Provincetown,,4,0,1,0,0,0,0,1,2,2,"2,947"
,,Quincy2,,6,3,6,0,0,0,4,6,3,1,"94,519"
,,Randolph,,1,0,0,0,0,0,0,1,0,0,"32,052"
,,Revere,,1,0,0,0,1,0,0,1,0,1,"52,930"
,,Salem2,,6,4,0,0,0,0,2,5,1,0,"43,154"
,,Somerville,,6,1,3,0,0,0,2,1,2,5,"81,552"
,,South Hadley,,2,0,0,0,0,0,0,2,0,0,"17,613"
,,Spencer,,0,1,0,0,0,0,0,1,0,0,"11,896"
,,Springfield,,14,2,1,0,0,0,1,1,10,5,"153,084"
,,Sudbury,,1,0,0,0,0,0,0,1,0,0,"19,778"
,,Sunderland2,,1,1,0,0,0,0,1,0,0,0,"3,622"
,,Swampscott2,,3,1,0,0,0,0,0,0,2,1,"15,391"
,,Taunton,,1,0,1,0,0,0,0,2,0,0,"57,338"
,,Tisbury,,1,0,0,0,0,0,0,1,0,0,"4,108"
,,Uxbridge,,1,0,0,0,0,0,0,0,1,0,"14,202"
,,Waltham2,,6,1,0,0,0,0,1,2,1,2,"62,339"
,,Wareham,,0,0,1,0,0,0,0,0,1,0,"23,619"
,,Watertown,,3,0,0,0,0,0,0,1,2,0,"36,201"
,,Wenham,,3,0,0,0,0,0,0,0,3,0,"5,296"
,,Westford,,0,1,0,0,0,0,0,0,1,0,"25,011"
,,Westwood,,3,7,0,0,0,0,0,0,9,1,"16,578"
,,Winchester,,1,0,0,0,0,0,1,0,0,0,"22,827"
,,Worcester2,,2,3,1,0,0,0,1,1,2,1,"184,850"
,,Yarmouth2,,5,1,0,0,0,0,0,4,0,1,"23,015"
,Universities and Colleges,,,7,4,3,0,0,1,,,,,
,,Boston University,,2,1,0,0,0,0,0,1,1,1,"42,779"
,,Fitchburg State University,,1,0,0,0,0,0,0,0,0,1,"11,130"
,,Gordon College,,1,0,0,0,0,0,0,0,0,1,"2,397"
,,Harvard University,,0,1,0,0,0,0,0,1,0,0,"41,987"
,,Holyoke Community College2,,0,0,1,0,0,1,1,0,0,0,"6,832"
,,Massachusetts Institute of Technology,,0,2,1,0,0,0,0,0,3,0,"12,321"
,,Salem State University,,0,0,1,0,0,0,1,0,0,0,"10,069"
,,University of Massachusetts:,Amherst,1,0,0,0,0,0,1,0,0,0,"35,116"
,,,"Medical Center, Worcester",2,0,0,0,0,0,1,1,0,0,"1,227"
,Other Agencies,,,1,0,0,0,0,0,,,,,
,,Massachusetts General Hospital,,1,0,0,0,0,0,1, , , ,
Michigan,Total,,,273,33,40,9,9,13,,,,,
,Cities,,,227,28,34,9,8,11,,,,,
,,Alpena,,0,0,1,0,0,0,1,0,0,0,"9,900"
,,Ann Arbor,,3,0,0,0,0,1,0,1,3,0,"120,647"
,,Auburn Hills,,1,0,0,0,0,0,0,0,1,0,"25,149"
,,Bangor,,1,0,0,0,0,0,0,0,1,0,"1,827"
,,Bath Township,,1,0,0,0,0,0,0,0,1,0,"13,167"
,,Battle Creek,,4,0,1,1,0,0,1,1,2,2,"60,479"
,,Benton Harbor,,0,0,1,0,0,0,0,0,1,0,"9,710"
,,Benton Township,,1,0,0,1,0,0,0,0,0,2,"14,251"
,,Birch Run,,1,0,0,0,0,0,0,0,1,0,"1,468"
,,Bloomfield Township,,1,0,0,0,0,0,0,0,1,0,"42,059"
,,Boyne City,,0,0,0,1,0,0,1,0,0,0,"3,729"
,,Bridgeport Township,,2,0,0,0,0,0,0,2,0,0,"9,736"
,,Buena Vista Township,,1,0,0,0,0,0,0,0,1,0,"8,047"
,,Burton,,2,2,0,0,0,0,1,1,0,2,"28,427"
,,Cadillac,,1,0,1,0,0,0,1,0,0,1,"10,513"
,,Cambridge Township,,1,0,0,0,0,0,1,0,0,0,"5,679"
,,Canton Township,,2,0,1,0,0,0,1,0,1,1,"94,128"
,,Cassopolis,,1,0,0,0,1,0,1,0,1,0,"1,692"
,,Chesaning,,0,1,0,0,0,0,0,0,1,0,"2,221"
,,Clawson,,1,0,0,0,0,0,1,0,0,0,"11,846"
,,Clinton Township,,1,0,0,0,0,0,0,0,1,0,"100,884"
,,Columbia Township,,1,0,0,0,0,0,0,0,0,1,"7,350"
,,Commerce Township,,1,0,0,0,0,0,0,1,0,0,"39,689"
,,Covert Township,,1,0,0,0,0,0,0,0,1,0,"2,891"
,,Dearborn,,1,0,0,0,0,0,0,0,0,1,"93,507"
,,Dearborn Heights,,3,0,0,0,0,0,0,0,2,1,"55,105"
,,Decatur,,1,0,0,0,0,0,0,1,0,0,"1,724"
,,Denton Township,,1,0,0,0,0,0,1,0,0,0,"5,421"
,,Detroit,,17,1,13,2,2,0,4,9,12,10,"659,616"
,,DeWitt,,1,0,0,0,0,0,0,0,0,1,"4,844"
,,DeWitt Township,,1,0,0,0,0,0,0,0,0,1,"15,756"
,,Durand,,0,0,0,0,0,1,0,0,0,1,"3,818"
,,East Grand Rapids,,1,0,0,0,0,0,0,0,1,0,"12,105"
,,East Lansing,,2,0,0,0,0,0,0,2,0,0,"48,098"
,,Eastpointe,,4,0,1,0,0,0,2,0,2,1,"32,046"
,,Eaton Rapids,,1,0,0,0,0,1,0,2,0,0,"5,248"
,,Ecorse,,1,1,0,0,0,0,1,0,1,0,"9,576"
,,Escanaba,,2,0,0,0,1,0,0,1,1,1,"12,111"
,,Essexville,,1,0,0,0,0,0,0,0,1,0,"3,257"
,,Farmington Hills,,4,0,0,0,0,0,0,4,0,0,"80,708"
,,Ferndale,,1,0,0,0,0,0,0,0,0,1,"20,048"
,,Flint,,1,0,0,0,0,0,0,0,0,1,"94,842"
,,Flint Township,,1,0,0,0,0,0,0,1,0,0,"30,178"
,,Flushing,,1,0,0,0,0,0,0,1,0,0,"7,827"
,,Flushing Township,,0,0,0,0,1,0,0,1,0,0,"10,133"
,,Frankenmuth,,2,0,0,0,0,0,0,0,2,0,"5,595"
,,Fraser,,2,0,0,0,0,0,1,0,1,0,"14,480"
,,Fremont,,0,0,0,0,0,1,0,0,1,0,"4,077"
,,Garden City,,1,0,0,0,0,0,0,0,0,1,"26,282"
,,Gaylord,,1,0,0,0,0,0,0,1,0,0,"3,692"
,,Gladwin,,1,0,0,0,0,0,0,1,0,0,"2,887"
,,Grand Blanc Township,,1,0,0,0,0,0,0,0,0,1,"36,498"
,,Grand Haven,,2,0,0,0,0,0,0,1,1,0,"11,126"
,,Grand Rapids,,1,0,0,0,0,0,1,0,0,0,"202,513"
,,Grandville,,1,0,0,0,0,0,0,1,0,0,"15,913"
,,Greenville,,0,0,0,0,0,1,0,0,0,1,"8,415"
,,Grosse Pointe,,2,0,0,0,0,0,0,0,1,1,"5,127"
,,Hamburg Township,,0,1,0,0,0,0,0,0,0,1,"21,867"
,,Hamtramck,,1,2,1,0,0,0,0,3,1,0,"21,514"
,,Harper Woods,,1,0,0,0,0,0,0,0,1,0,"13,679"
,,Highland Park,,3,0,1,0,0,0,0,1,0,3,"10,680"
,,Houghton,,0,0,1,0,0,0,0,0,0,1,"7,760"
,,Howell,,0,0,1,0,0,0,0,0,0,1,"9,620"
,,Huntington Woods,,1,1,0,0,0,0,0,0,0,2,"6,268"
,,Inkster,,4,0,0,0,0,0,0,1,2,1,"24,173"
,,Ionia,,0,0,1,0,0,0,0,0,1,0,"11,153"
,,Jackson,,0,1,0,0,0,0,1,0,0,0,"32,332"
,,Kalamazoo,,1,0,0,0,0,0,0,1,0,0,"76,411"
,,Kalamazoo Township,,1,0,0,0,0,0,0,0,0,1,"24,562"
,,Kentwood,,0,1,0,1,0,0,0,0,0,2,"52,263"
,,Lansing,,7,1,2,0,0,0,2,1,3,4,"118,651"
,,Lincoln Park,,2,0,0,0,0,0,1,1,0,0,"36,140"
,,Livonia,,3,0,0,0,0,1,0,0,1,3,"93,342"
,,Madison Heights,,1,0,0,0,0,0,1,0,0,0,"29,906"
,,Manistee,,1,0,0,0,0,0,0,1,0,0,"6,103"
,,Marshall,,0,0,1,0,0,0,0,0,1,0,"6,954"
,,Meridian Township,,5,0,0,0,0,0,0,2,1,2,"43,598"
,,Metro Police Authority of Genesee County,,1,0,0,0,0,0,0,0,1,0,"19,883"
,,Midland,,3,0,0,0,0,0,0,0,3,0,"41,682"
,,Montrose Township,,1,0,0,0,0,0,0,1,0,0,"7,431"
,,Mount Pleasant,,2,0,0,0,0,0,1,0,1,0,"24,668"
,,Muskegon Township,,1,0,0,0,0,0,1,0,0,0,"18,022"
,,Negaunee,,0,0,0,0,2,0,0,0,0,2,"4,520"
,,Niles,,1,0,0,0,0,0,0,1,0,0,"11,102"
,,Northville Township,,1,0,0,0,0,0,1,0,0,0,"29,434"
,,Norton Shores,,2,0,0,0,0,0,0,0,1,1,"24,742"
,,Ontwa Township-Edwardsburg,,2,0,0,0,0,0,0,0,1,1,"6,602"
,,Ovid,,1,0,0,0,0,0,0,0,1,0,"1,616"
,,Owosso,,5,1,0,0,0,0,1,0,5,0,"14,363"
,,Oxford,,1,0,0,0,0,0,0,0,1,0,"3,570"
,,Paw Paw,,0,1,0,0,0,0,0,0,0,1,"3,351"
,,Pinckney,,2,0,0,0,0,0,1,0,1,0,"2,419"
,,Pontiac,,3,0,0,0,0,0,0,2,1,0,"59,411"
,,Port Huron,,1,1,0,0,0,1,0,0,0,3,"28,602"
,,"Richland Township, Saginaw County",,1,0,0,0,0,0,0,0,1,0,"3,904"
,,Richmond,,0,0,1,0,0,0,0,0,0,1,"5,856"
,,River Rouge,,0,1,0,0,0,0,0,1,0,0,"7,369"
,,Rochester Hills,,3,0,0,0,0,0,0,2,1,0,"74,913"
,,Rockford,,1,0,0,0,0,0,0,1,0,0,"6,472"
,,Romeo,,1,0,0,0,0,0,0,0,1,0,"3,607"
,,Romulus,,1,0,1,0,1,1,2,0,1,1,"23,533"
,,Roosevelt Park,,1,0,0,0,0,0,0,1,0,0,"3,793"
,,Roseville,,3,0,0,0,0,0,0,1,1,1,"46,983"
,,Royal Oak,,1,1,0,0,0,1,1,1,0,1,"59,506"
,,Saginaw,,3,0,0,0,0,0,0,1,1,1,"47,767"
,,Saginaw Township,,1,0,0,0,0,0,0,1,0,0,"38,971"
,,Saline,,1,0,0,0,0,0,0,0,1,0,"9,400"
,,Shelby,,2,0,0,0,0,0,0,1,1,0,"2,008"
,,Shelby Township,,1,0,0,0,0,0,0,0,1,0,"81,416"
,,Southfield,,5,0,0,0,0,0,1,0,4,0,"72,794"
,,Southgate,,1,0,0,0,0,0,0,0,0,1,"28,848"
,,South Haven,,0,0,0,1,0,0,0,1,0,0,"4,341"
,,Spring Arbor Township,,1,0,0,0,0,0,1,0,0,0,"7,838"
,,Stanton,,1,0,0,0,0,0,1,0,0,0,"1,423"
,,St. Clair Shores,,1,0,0,0,0,0,0,1,0,0,"58,898"
,,Sterling Heights,,12,3,0,0,0,0,1,4,5,5,"132,745"
,,Sumpter Township,,2,0,0,0,0,0,0,1,1,0,"9,348"
,,Taylor,,1,0,0,0,0,0,0,0,1,0,"60,698"
,,Tecumseh,,2,0,0,0,0,0,0,1,1,0,"8,392"
,,Three Oaks,,1,0,1,1,0,0,2,0,0,1,"1,537"
,,Three Rivers,,1,0,0,0,0,0,1,0,0,0,"7,604"
,,Traverse City,,1,0,0,0,0,0,0,0,1,0,"15,855"
,,Troy,,7,0,2,0,0,0,1,4,2,2,"84,441"
,,Walker,,2,0,0,0,0,0,0,0,1,1,"25,020"
,,Warren,,10,1,0,0,0,0,0,4,6,1,"133,928"
,,Waterford Township,,1,0,1,0,0,0,1,0,0,1,"72,735"
,,Wayne,,2,0,0,0,0,0,0,1,0,1,"16,734"
,,West Bloomfield Township,,4,5,0,1,0,0,2,4,2,2,"65,711"
,,Westland,,2,1,1,0,0,0,0,1,2,1,"81,244"
,,Wyoming,,5,1,0,0,0,2,2,0,4,2,"76,071"
,Universities and Colleges,,,8,1,0,0,0,1,,,,,
,,Grand Valley State University,,1,0,0,0,0,0,0,0,1,0,"27,752"
,,Michigan Technological University,,0,0,0,0,0,1,0,0,1,0,"7,657"
,,Oakland Community College,,1,0,0,0,0,0,0,0,0,1,"25,217"
,,University of Michigan:,Ann Arbor,5,1,0,0,0,0,1,0,3,2,"48,218"
,,,Flint,1,0,0,0,0,0,0,1,0,0,"8,806"
,Metropolitan Counties,,,16,1,5,0,0,1,,,,,
,,Bay,,2,0,0,0,0,0,1,1,0,0,
,,Berrien,,0,0,0,0,0,1,0,0,1,0,
,,Calhoun,,1,0,0,0,0,0,0,0,1,0,
,,Clinton,,1,0,0,0,0,0,0,0,0,1,
,,Genesee,,1,1,0,0,0,0,0,0,2,0,
,,Ingham,,2,0,1,0,0,0,0,0,3,0,
,,Ionia,,3,0,0,0,0,0,0,1,1,1,
,,Kalamazoo,,1,0,0,0,0,0,0,1,0,0,
,,Kent,,1,0,1,0,0,0,0,0,0,2,
,,Oakland,,1,0,0,0,0,0,0,1,0,0,
,,Ottawa,,1,0,2,0,0,0,0,0,1,2,
,,Saginaw,,1,0,0,0,0,0,1,0,0,0,
,,Washtenaw,,1,0,1,0,0,0,0,1,1,0,
,Nonmetropolitan Counties,,,12,3,1,0,1,0,,,,,
,,Arenac,,2,0,0,0,0,0,0,0,1,1,
,,Barry,,2,0,0,0,0,0,0,1,1,0,
,,Charlevoix,,0,0,1,0,0,0,0,0,0,1,
,,Dickinson,,1,0,0,0,0,0,1,0,0,0,
,,Grand Traverse,,0,1,0,0,0,0,1,0,0,0,
,,Houghton,,1,1,0,0,0,0,0,0,0,2,
,,Isabella,,1,0,0,0,0,0,0,0,1,0,
,,Lake,,1,0,0,0,0,0,0,0,0,1,
,,Mecosta,,2,0,0,0,0,0,0,2,0,0,
,,Missaukee,,0,0,0,0,1,0,0,0,1,0,
,,Oceana,,1,0,0,0,0,0,0,0,0,1,
,,Ogemaw,,1,0,0,0,0,0,0,0,1,0,
,,Van Buren,,0,1,0,0,0,0,0,0,1,0,
,State Police Agencies,,,7,0,0,0,0,0,,,,,
,,State Police:,Lapeer County,1,0,0,0,0,0,0,1,0,0,
,,,Midland County,1,0,0,0,0,0,1,0,0,0,
,,,Saginaw County,1,0,0,0,0,0,0,0,0,1,
,,,Shiawassee County,4,0,0,0,0,0,1,1,0,2,
,Tribal Agencies,,,1,0,0,0,0,0,,,,,
,,Nottawaseppi Huron Band of Potawatomi,,1,0,0,0,0,0,0,0,0,1,
,Other Agencies,,,2,0,0,0,0,0,,,,,
,,Department of Natural Resources Law Enforcement Division,,1,0,0,0,0,0,0,1,0,0,
,,Genesee County Parks and Recreation,,1,0,0,0,0,0,1,0,0,0,
Minnesota,Total,,,134,30,27,3,0,2,,,,,
,Cities,,,117,23,24,1,0,1,,,,,
,,Alexandria,,1,0,0,0,0,0,1,0,0,0,"13,978"
,,Blaine,,1,0,0,0,0,0,0,0,0,1,"66,588"
,,Bloomington,,0,0,1,0,0,0,1,0,0,0,"85,159"
,,Brainerd,,3,0,0,0,0,0,0,1,1,1,"13,417"
,,Brooklyn Center,,1,0,0,0,0,0,0,0,1,0,"30,744"
,,Brooklyn Park,,2,0,0,0,0,0,0,1,1,0,"80,897"
,,Burnsville,,2,0,0,0,0,0,1,1,0,0,"61,445"
,,Coon Rapids,,1,0,0,0,0,0,0,0,1,0,"63,162"
,,Crystal,,0,0,1,0,0,0,0,1,0,0,"22,987"
,,Dayton,,1,0,0,0,0,0,0,0,1,0,"6,958"
,,Eden Prairie,,2,0,0,0,0,0,0,0,1,1,"65,353"
,,Edina,,1,0,0,0,0,0,0,0,1,0,"53,422"
,,Fairmont,,2,0,0,0,0,0,1,1,0,0,"9,964"
,,Goodhue,,1,0,0,0,0,0,0,1,0,0,"1,177"
,,Hastings,,1,1,0,0,0,0,0,1,0,1,"22,959"
,,Hopkins,,4,0,0,0,0,0,0,0,2,2,"18,568"
,,Inver Grove Heights,,1,0,0,0,0,0,1,0,0,0,"35,861"
,,Janesville,,0,1,1,0,0,0,0,0,1,1,"2,251"
,,Lakes Area,,2,0,0,0,0,0,0,0,1,1,"10,000"
,,Lakeville,,4,1,0,0,0,0,1,2,1,1,"68,688"
,,Mankato,,4,1,1,1,0,0,0,3,3,1,"43,276"
,,Maple Grove,,1,0,0,0,0,0,0,0,0,1,"73,939"
,,Maplewood,,5,1,0,0,0,0,1,2,2,1,"41,096"
,,Minneapolis,,18,4,5,0,0,0,9,9,5,4,"435,116"
,,Minnetonka,,1,1,0,0,0,0,0,2,0,0,"54,561"
,,Mountain Lake,,0,1,0,0,0,0,0,1,0,0,"2,029"
,,Plainview,,1,0,0,0,0,0,0,0,1,0,"3,293"
,,Plymouth,,1,1,1,0,0,0,0,0,2,1,"80,843"
,,Prior Lake,,1,0,0,0,0,0,0,0,1,0,"27,748"
,,Red Wing,,2,0,5,0,0,0,1,0,3,3,"16,304"
,,Rochester,,3,0,0,0,0,0,0,0,1,2,"120,336"
,,Roseville,,13,0,0,0,0,0,0,6,6,1,"36,675"
,,Savage,,4,1,0,0,0,0,0,1,3,1,"33,020"
,,Sleepy Eye,,1,0,0,0,0,0,0,1,0,0,"3,331"
,,South Lake Minnetonka,,1,0,1,0,0,0,0,0,2,0,"12,867"
,,South St. Paul,,0,0,1,0,0,0,0,0,0,1,"20,053"
,,St. Cloud,,2,0,1,0,0,0,1,1,1,0,"68,751"
,,Stillwater,,1,0,0,0,0,0,0,0,0,1,"19,736"
,,St. Louis Park,,3,2,0,0,0,0,1,2,2,0,"49,058"
,,St. Paul,,20,5,6,0,0,1,3,14,7,8,"309,859"
,,St. Paul Park,,0,1,0,0,0,0,0,0,0,1,"5,374"
,,Wayzata,,0,1,0,0,0,0,0,0,1,0,"6,602"
,,Willmar,,2,0,0,0,0,0,0,0,1,1,"19,901"
,,Winona,,0,1,0,0,0,0,0,0,1,0,"26,487"
